epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8200.6,1.15633,1.43544,1.40843,0.50904,0.54279,0.52201,0.32283,1.37214,1.82639,1.66172,0.002228,0.002228,0.002228
44,8372.53,1.08832,1.43053,1.35496,0.54461,0.40823,0.47863,0.31642,1.34345,1.83679,1.65712,0.002162,0.002162,0.002162
45,8539.45,1.12929,1.41176,1.38744,0.75608,0.46471,0.61972,0.40922,1.31186,1.57292,1.62002,0.002096,0.002096,0.002096
46,8730.74,1.04191,1.34258,1.3301,0.59382,0.49872,0.56167,0.36936,1.33044,1.6853,1.62235,0.00203,0.00203,0.00203
47,8911.16,1.10844,1.35806,1.35131,0.56097,0.60687,0.58887,0.38105,1.32513,1.64923,1.63819,0.001964,0.001964,0.001964
48,9083.15,1.09165,1.33072,1.36618,0.61237,0.58353,0.62168,0.40749,1.29132,1.56792,1.5805,0.001898,0.001898,0.001898
49,9264.17,1.04026,1.29055,1.31367,0.72269,0.57885,0.63764,0.42632,1.32335,1.4694,1.58469,0.001832,0.001832,0.001832
50,9447.55,1.03522,1.28865,1.30747,0.67978,0.60406,0.64538,0.44062,1.34256,1.5505,1.63607,0.001766,0.001766,0.001766
51,9629.42,1.05083,1.22753,1.31054,0.71265,0.5392,0.64446,0.41619,1.32197,1.53788,1.62066,0.0017,0.0017,0.0017
52,9814.67,1.02593,1.22888,1.31232,0.86357,0.52126,0.67596,0.42935,1.31473,1.50672,1.6097,0.001634,0.001634,0.001634
53,9989.62,1.04083,1.25531,1.30149,0.69844,0.55339,0.62808,0.41938,1.26139,1.56673,1.58943,0.001568,0.001568,0.001568
54,10162.8,1.02662,1.22965,1.2961,0.73146,0.58514,0.66396,0.42727,1.3078,1.54594,1.59961,0.001502,0.001502,0.001502
55,10333.8,1.00222,1.22469,1.29795,0.84393,0.5769,0.66528,0.42277,1.31325,1.52724,1.62323,0.001436,0.001436,0.001436
56,10506.2,0.94021,1.13805,1.25262,0.75911,0.54135,0.63462,0.403,1.30295,1.58595,1.61581,0.00137,0.00137,0.00137
57,10689.3,0.94742,1.15625,1.24056,0.68533,0.59182,0.64332,0.40745,1.32622,1.47612,1.62644,0.001304,0.001304,0.001304
58,10859.7,0.94056,1.13139,1.27356,0.77528,0.57188,0.64742,0.41087,1.38611,1.51878,1.66321,0.001238,0.001238,0.001238
59,11033.4,0.95158,1.11807,1.25817,0.68238,0.61083,0.6623,0.42062,1.35428,1.51301,1.62089,0.001172,0.001172,0.001172
60,11214.7,0.90801,1.10547,1.24133,0.74453,0.59387,0.66026,0.42364,1.32554,1.50411,1.59455,0.001106,0.001106,0.001106
61,11402.4,0.97326,1.12213,1.26426,0.73514,0.5786,0.65977,0.43111,1.2855,1.48104,1.54676,0.00104,0.00104,0.00104
62,11592,0.93358,1.09523,1.23605,0.81495,0.54568,0.63979,0.42074,1.3153,1.45266,1.5736,0.000974,0.000974,0.000974
63,11776.3,0.91115,1.07809,1.21942,0.79969,0.52697,0.63764,0.42269,1.33648,1.48988,1.61986,0.000908,0.000908,0.000908
64,11963.1,0.92103,1.08928,1.23312,0.70456,0.58947,0.6555,0.44064,1.29552,1.50485,1.57948,0.000842,0.000842,0.000842
65,12144.8,0.89675,1.04582,1.19204,0.75803,0.58669,0.64964,0.44888,1.24468,1.45921,1.52176,0.000776,0.000776,0.000776
66,12354.6,0.85933,1.13965,1.23553,0.79592,0.55987,0.65331,0.45669,1.26924,1.5242,1.54876,0.00071,0.00071,0.00071
67,12623.7,0.88116,1.05488,1.23195,0.70879,0.58008,0.62935,0.43505,1.2765,1.67139,1.5777,0.000644,0.000644,0.000644
68,12837.1,0.88313,1.07879,1.26015,0.71863,0.60777,0.63846,0.42322,1.28188,1.59411,1.5643,0.000578,0.000578,0.000578
69,13059.9,0.84341,0.99617,1.21812,0.70304,0.61103,0.65096,0.44722,1.26458,1.50027,1.53924,0.000512,0.000512,0.000512
70,13248.4,0.77687,0.89822,1.14875,0.80829,0.59092,0.66992,0.45599,1.24968,1.49107,1.5166,0.000446,0.000446,0.000446
71,13435.6,0.78303,0.8796,1.16837,0.83179,0.60533,0.68049,0.45999,1.25898,1.47456,1.52544,0.00038,0.00038,0.00038
72,13612.3,0.80714,0.89398,1.17437,0.84998,0.60123,0.6804,0.46071,1.23495,1.4669,1.52111,0.000314,0.000314,0.000314
73,13787.9,0.78326,0.85497,1.17856,0.82302,0.61164,0.67663,0.45614,1.23683,1.47771,1.52243,0.000248,0.000248,0.000248
74,13957.9,0.80197,0.85376,1.16634,0.83373,0.61485,0.68446,0.45708,1.27771,1.50133,1.55205,0.000182,0.000182,0.000182
75,14129.4,0.77176,0.8617,1.15006,0.82905,0.60814,0.68422,0.45227,1.2671,1.49592,1.53513,0.000116,0.000116,0.000116
